"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SPACDR",6.78637484552142,3.37093333902483,1.01086184772249,3.33471220287884,0.000853877224055248,0.00127948905682241
"RIMBP3C",12.6394236145008,1.56741705199219,0.589120923401311,2.66060326450918,0.00780008047441286,0.0107578799147051
"CAPN3",15.6380187765202,1.39384877946261,0.508954464234988,2.73865124959207,0.00616917763917595,0.00858571975121272
"MUSTN1",9.44151796130171,3.71095657352214,0.852150370456327,4.3548142466158,1.3317980213887e-05,2.2818026759859e-05
"FOXH1",15.4854795167734,2.88885007692497,0.603407639780429,4.78755966360682,1.68821556986862e-06,3.06064165553864e-06
"LOC124901798",11.0580149404263,3.39014842113303,0.761439780276219,4.45228698177974,8.49605099944613e-06,1.47322353639253e-05
"OAZ3",11.1553369053432,1.7946402218749,0.591602705410586,3.03352267571085,0.00241716544791248,0.00348209034488545
"DAND5",7.99521316001051,1.59410517850032,0.697073812172101,2.28685277034443,0.0222044181419254,0.0292498633363386
"RDH5",7.35667529575725,2.00116174051462,0.730013245041629,2.74126771549261,0.00612026179705209,0.00852203532611389
"RBP7",10.9203512506637,1.28621355329731,0.56590616175867,2.2728389266873,0.0230358882943644,0.030291957520426
"PEAK3",8.15152788343814,2.21149671490892,0.66639648839096,3.31858998874479,0.000904731655724586,0.00135298871111405
"TTC9B",7.14640352490048,2.18822199488053,0.76620001788551,2.85594093422157,0.00429094952001034,0.00605984408678447
"PLD4",39.3481563446902,5.0019552323515,0.796509158126246,6.27984647925252,3.38907514371354e-10,7.48624075838949e-10
"GPR84",12.0822021313123,2.17829663845866,0.583291910838334,3.73448799474677,0.000188097463110767,0.000297609732738599
"VIL1",53.5431925427239,6.69341163124236,0.863804469788852,7.74875780959839,9.27958114795272e-15,2.54745069293432e-14
"NUPR1",7.11571564947251,1.40312749044113,0.622788999535822,2.25297410758204,0.0242607815833131,0.0318375595019742
"TSTD1",10.6739636137864,2.25024429183774,0.606177397890982,3.71218771875495,0.000205475498947123,0.00032434522521748
"CFAP90",8.50133644853773,1.53574942158474,0.619698932774543,2.47821859997211,0.0132040220136238,0.0178303161838303
"MATN4",9.41052107830685,1.32112516753583,0.575804177649482,2.29440010826052,0.0217675269518444,0.0287023519266384
"PRR4",8.6108007622935,1.46816920907837,0.594198158488222,2.47084106220344,0.0134795713108442,0.018187856512863
"SLC4A5",11.2637055510544,1.31701268038225,0.552886396895811,2.38206743334008,0.0172157446046757,0.0229537594220548
