"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"HSPA1A",13.1468734054221,3.48895291270938,0.662018954109186,5.27017072706645,1.36296924011699e-07,3.70548685276267e-07
"SPACDR",6.78637484552142,3.08613803942209,1.01679250128221,3.03516994424169,0.00240400185942503,0.00416749218080345
"CAPN3",15.6380187765202,1.3534466616695,0.508962791432546,2.65922516233463,0.0078320601291946,0.0126182152511046
"MUSTN1",9.44151796130171,2.7230240468334,0.872906572089948,3.11949082971597,0.00181163899933684,0.00318825609400095
"FOXH1",15.4854795167734,1.97941625737898,0.620154556801136,3.19181119556574,0.00141383717248996,0.00252065287992706
"LOC124901798",11.0580149404263,2.98741687630583,0.768639817593542,3.88662779097085,0.000101646427233009,0.000206117214489764
"DAND5",7.99521316001051,1.91653555571161,0.685125820304302,2.79734831021311,0.00515239548211466,0.00851855148224713
"GALR2",7.9861115302395,2.30407205030022,0.713662818201908,3.22851631265502,0.00124434161774556,0.00223491501678633
"RDH5",7.35667529575725,1.61712131286061,0.741554681135977,2.18071755731265,0.0292043136118211,0.0430116110039486
"TTC9B",7.14640352490048,1.74740415340356,0.779268686425099,2.24236413427541,0.0249378478359483,0.0371085510452042
"PLD4",39.3481563446902,2.38568748299189,0.817983716781734,2.916546422682,0.00353930049610208,0.00599504557942645
"SPDYA",15.0576679908953,1.61700122610472,0.478981156174578,3.37591824909989,0.00073569775903107,0.0013578476342691
"GPR84",12.0822021313123,1.72305837316788,0.593820571861755,2.90164816581837,0.00371205190636898,0.00626768544120655
"VIL1",53.5431925427239,5.7191615243388,0.867237337778867,6.59469014443783,4.26144931871817e-11,1.57454371242513e-10
"IL20RA",10.0064061097847,1.36318946170801,0.575037524649322,2.37060957463485,0.0177587791010357,0.0270824891723803
"TSTD1",10.6739636137864,1.4549665140017,0.627665452912106,2.31806053248791,0.0204460314887969,0.0308668088035612
"ANKRD2",9.9974750967957,1.4604704666492,0.638638969377421,2.28684833948191,0.0222046768539219,0.0332872909399067
"MMP23B",8.21641166490119,1.62870958029064,0.654699679455455,2.48772014314306,0.0128564857101562,0.020068841897655
"SLC22A1",7.56754828810645,1.55096891244758,0.666830687493278,2.32588112925323,0.0200248930081026,0.0302818190526874
"MAP4K1",6.45489575969424,1.67878539258188,0.776624583838529,2.16164338280969,0.0306456747915083,0.0450116683377017
