"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"HSPA1A",13.1468734054221,1.03170173723987,0.734186073561751,1.4052319628385,0.159952312496941,0.189082932407075
"C2orf88",12.8783155641249,-0.755961295910874,1.1073624057489,-0.682668376663579,0.49481641659576,0.536070970988553
"PHOSPHO2-KLHL23",12.5103604407915,-6.53240453706063,3.91217836077046,-1.66976143075802,0.0949665741585483,0.115685619210914
"SPDYE13",8.49361527618343,1.34745892316354,2.00736884452515,0.671256270036556,0.502057287507201,0.543435856540907
"SPACDR",6.78637484552142,3.37093333902483,1.01086184772249,3.33471220287884,0.000853877224055248,0.00127948905682241
"RIMBP3C",12.6394236145008,1.56741705199219,0.589120923401311,2.66060326450918,0.00780008047441286,0.0107578799147051
"STIMATE-MUSTN1",8.27188942110448,0.800280116937073,1.42836932713655,0.560275344571696,0.575291641965991,0.613636963495895
"ARHGAP8",6.52947513237815,0.935654571252151,1.4900677804266,0.627927523528009,0.530051419646756,0.570307954785691
"TGIF2-RAB5IF",8.71347635657561,0.600528907146322,0.644139023629403,0.932297043210704,0.351183035368232,0.392331167605007
"CAPN3",15.6380187765202,1.39384877946261,0.508954464234988,2.73865124959207,0.00616917763917595,0.00858571975121272
"MUSTN1",9.44151796130171,3.71095657352214,0.852150370456327,4.3548142466158,1.3317980213887e-05,2.2818026759859e-05
"FOXH1",15.4854795167734,2.88885007692497,0.603407639780429,4.78755966360682,1.68821556986862e-06,3.06064165553864e-06
"LOC124901798",11.0580149404263,3.39014842113303,0.761439780276219,4.45228698177974,8.49605099944613e-06,1.47322353639253e-05
"RAB41",8.065570944205,0.996682285218115,0.614259066114622,1.62257643427624,0.104679981526883,0.126991143013249
"OAZ3",11.1553369053432,1.7946402218749,0.591602705410586,3.03352267571085,0.00241716544791248,0.00348209034488545
"DAND5",7.99521316001051,1.59410517850032,0.697073812172101,2.28685277034443,0.0222044181419254,0.0292498633363386
"LOC124903061",8.28347608606358,0.949045908917452,0.657371793891644,1.4436973379997,0.148824130571205,0.176546400741748
"GALR2",7.9861115302395,1.47518652103401,0.741793893924708,1.98867439205929,0.0467371542931846,0.0594888583117079
"RDH5",7.35667529575725,2.00116174051462,0.730013245041629,2.74126771549261,0.00612026179705209,0.00852203532611389
"RBP7",10.9203512506637,1.28621355329731,0.56590616175867,2.2728389266873,0.0230358882943644,0.030291957520426
"PEAK3",8.15152788343814,2.21149671490892,0.66639648839096,3.31858998874479,0.000904731655724586,0.00135298871111405
"TTC9B",7.14640352490048,2.18822199488053,0.76620001788551,2.85594093422157,0.00429094952001034,0.00605984408678447
"PLD4",39.3481563446902,5.0019552323515,0.796509158126246,6.27984647925252,3.38907514371354e-10,7.48624075838949e-10
"SPDYA",15.0576679908953,0.913287277422554,0.498920024787035,1.83052840545415,0.0671709632314067,0.0835752626105632
"GPR84",12.0822021313123,2.17829663845866,0.583291910838334,3.73448799474677,0.000188097463110767,0.000297609732738599
"VIL1",53.5431925427239,6.69341163124236,0.863804469788852,7.74875780959839,9.27958114795272e-15,2.54745069293432e-14
"NUPR1",7.11571564947251,1.40312749044113,0.622788999535822,2.25297410758204,0.0242607815833131,0.0318375595019742
"IL20RA",10.0064061097847,1.17490794983617,0.582557044133561,2.01681184987405,0.0437151518562037,0.0557948823228026
