"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"HSPA1A",13.1468734054221,0.520265883758261,0.52268913184599,0.159952312496941,0.189082932407075
"C2orf88",12.8783155641249,-0.234068766667341,0.616794488792066,0.49481641659576,0.536070970988553
"PHOSPHO2-KLHL23",12.5103604407915,-0.236806620129389,0.761088626623812,0.0949665741585483,0.115685619210914
"SPDYE13",8.49361527618343,0.16357190568019,0.700543240034857,0.502057287507201,0.543435856540907
"SPACDR",6.78637484552142,1.23977546438282,0.682765023193141,0.000853877224055248,0.00127948905682241
"RIMBP3C",12.6394236145008,0.963191223022764,0.465620770514644,0.00780008047441286,0.0107578799147051
"STIMATE-MUSTN1",8.27188942110448,0.170504163037301,0.659861305625332,0.575291641965991,0.613636963495895
"ARHGAP8",6.52947513237815,0.186569509820506,0.666118303214979,0.530051419646756,0.570307954785691
"TGIF2-RAB5IF",8.71347635657561,0.341184774579452,0.485885736957925,0.351183035368232,0.392331167605007
"CAPN3",15.6380187765202,0.948198993822587,0.422138337884019,0.00616917763917595,0.00858571975121272
"MUSTN1",9.44151796130171,1.81710044146597,0.806483392547755,1.3317980213887e-05,2.2818026759859e-05
"FOXH1",15.4854795167734,1.82729940165386,0.542282616370768,1.68821556986862e-06,3.06064165553864e-06
"LOC124901798",11.0580149404263,1.80960069603114,0.696088129968073,8.49605099944613e-06,1.47322353639253e-05
"RAB41",8.065570944205,0.590039537092452,0.473737404670015,0.104679981526883,0.126991143013249
"OAZ3",11.1553369053432,1.10235059253953,0.469715132771612,0.00241716544791248,0.00348209034488545
"DAND5",7.99521316001051,0.848530057410435,0.512773698408345,0.0222044181419254,0.0292498633363386
"LOC124903061",8.28347608606358,0.530377026036449,0.492464216895628,0.148824130571205,0.176546400741748
"GALR2",7.9861115302395,0.738502351751246,0.528195302678137,0.0467371542931846,0.0594888583117079
"RDH5",7.35667529575725,1.02453330222504,0.531292992224652,0.00612026179705209,0.00852203532611389
"RBP7",10.9203512506637,0.812749491376066,0.451892849175132,0.0230358882943644,0.030291957520426
"PEAK3",8.15152788343814,1.23947732310826,0.512772908841185,0.000904731655724586,0.00135298871111405
"TTC9B",7.14640352490048,1.07051788226384,0.548232846869614,0.00429094952001034,0.00605984408678447
"PLD4",39.3481563446902,4.45077221455433,1.05186336482871,3.38907514371354e-10,7.48624075838949e-10
"SPDYA",15.0576679908953,0.627426307120407,0.414260645373374,0.0671709632314067,0.0835752626105632
"GPR84",12.0822021313123,1.36313954108376,0.474701657312867,0.000188097463110767,0.000297609732738599
"VIL1",53.5431925427239,6.32004633560179,0.853652152811037,9.27958114795272e-15,2.54745069293432e-14
"NUPR1",7.11571564947251,0.823452014871259,0.479888834175024,0.0242607815833131,0.0318375595019742
"IL20RA",10.0064061097847,0.725919412787645,0.459541605466714,0.0437151518562037,0.0557948823228026
"TSTD1",10.6739636137864,1.36887693602953,0.488188003509415,0.000205475498947123,0.00032434522521748
"ANKRD2",9.9974750967957,0.748769273703737,0.488662335454539,0.0414218736779547,0.0530232972907998
"SUSD4",9.50891405995642,0.317793852028932,0.453748393952396,0.374507322485481,0.416400999623173
"CFAP90",8.50133644853773,0.906087557526977,0.479646654020003,0.0132040220136238,0.0178303161838303
"MATN4",9.41052107830685,0.824316115270646,0.457065976515614,0.0217675269518444,0.0287023519266384
