"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"HSPA1A",13.1468734054221,3.48895291270938,0.662018954109186,5.27017072706645,1.36296924011699e-07,3.70548685276267e-07
"C2orf88",12.8783155641249,-0.0584851955259392,1.09334064297967,-0.0534921992532448,0.957339745846531,0.965925110879159
"PHOSPHO2-KLHL23",12.5103604407915,0.280984791771289,3.73494710741892,0.0752312639751053,0.940030709775273,0.951661263697957
"SPDYE13",8.49361527618343,0.797914761508622,2.01328689340516,0.396324420589195,0.691865714057997,0.738526170580093
"SPACDR",6.78637484552142,3.08613803942209,1.01679250128221,3.03516994424169,0.00240400185942503,0.00416749218080345
"RIMBP3C",12.6394236145008,0.572573867998025,0.61527714417312,0.930595055286045,0.352063073267907,0.413250178420275
"STIMATE-MUSTN1",8.27188942110448,-0.363024434838709,1.45138883947147,-0.250122107161102,0.802492920183631,0.836121076971693
"ARHGAP8",6.52947513237815,0.516524678871418,1.49811625143737,0.344782775285855,0.730257683302561,0.772725839193344
"TGIF2-RAB5IF",8.71347635657561,-0.176509673463831,0.674212064765682,-0.261801416332079,0.793474547067576,0.828373298016243
"CAPN3",15.6380187765202,1.3534466616695,0.508962791432546,2.65922516233463,0.0078320601291946,0.0126182152511046
"MUSTN1",9.44151796130171,2.7230240468334,0.872906572089948,3.11949082971597,0.00181163899933684,0.00318825609400095
"FOXH1",15.4854795167734,1.97941625737898,0.620154556801136,3.19181119556574,0.00141383717248996,0.00252065287992706
"LOC124901798",11.0580149404263,2.98741687630583,0.768639817593542,3.88662779097085,0.000101646427233009,0.000206117214489764
"RAB41",8.065570944205,0.757453411377475,0.622297316315497,1.21718894091045,0.22353233690587,0.276568005916987
"OAZ3",11.1553369053432,1.00016866823046,0.613573390835959,1.63007177815809,0.103086327578178,0.137608118314513
"DAND5",7.99521316001051,1.91653555571161,0.685125820304302,2.79734831021311,0.00515239548211466,0.00851855148224713
"LOC124903061",8.28347608606358,0.66280583242011,0.666512703694782,0.994438408669297,0.320009476860445,0.380622671755164
"GALR2",7.9861115302395,2.30407205030022,0.713662818201908,3.22851631265502,0.00124434161774556,0.00223491501678633
"RDH5",7.35667529575725,1.61712131286061,0.741554681135977,2.18071755731265,0.0292043136118211,0.0430116110039486
"RBP7",10.9203512506637,1.10554896028049,0.570267872361137,1.93864850864398,0.0525441525396024,0.0739958906265956
"PEAK3",8.15152788343814,1.20463815295044,0.700206303876504,1.720404609729,0.085358919658742,0.115822188373133
"TTC9B",7.14640352490048,1.74740415340356,0.779268686425099,2.24236413427541,0.0249378478359483,0.0371085510452042
"PLD4",39.3481563446902,2.38568748299189,0.817983716781734,2.916546422682,0.00353930049610208,0.00599504557942645
"SPDYA",15.0576679908953,1.61700122610472,0.478981156174578,3.37591824909989,0.00073569775903107,0.0013578476342691
"GPR84",12.0822021313123,1.72305837316788,0.593820571861755,2.90164816581837,0.00371205190636898,0.00626768544120655
