"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"HSPA1A",13.1468734054221,2.35340577857907,1.06115118505842,1.36296924011699e-07,3.70548685276267e-07
"C2orf88",12.8783155641249,-0.0116692669146932,0.488381158348672,0.957339745846531,0.965925110879159
"PHOSPHO2-KLHL23",12.5103604407915,0.00606755453334546,0.548859374231647,0.940030709775273,0.951661263697957
"SPDYE13",8.49361527618343,0.0554684742821358,0.531170530551721,0.691865714057997,0.738526170580093
"SPACDR",6.78637484552142,0.734950339458388,0.562140462406523,0.00240400185942503,0.00416749218080345
"RIMBP3C",12.6394236145008,0.250193564489991,0.408126708577056,0.352063073267907,0.413250178420275
"STIMATE-MUSTN1",8.27188942110448,-0.045284613966169,0.512731495765774,0.802492920183631,0.836121076971693
"ARHGAP8",6.52947513237815,0.060997392628342,0.515045941816958,0.730257683302561,0.772725839193344
"TGIF2-RAB5IF",8.71347635657561,-0.0692165632380842,0.422320107995821,0.793474547067576,0.828373298016243
"CAPN3",15.6380187765202,0.730702041723626,0.381201694801163,0.0078320601291946,0.0126182152511046
"MUSTN1",9.44151796130171,0.805842170341874,0.524439354532462,0.00181163899933684,0.00318825609400095
"FOXH1",15.4854795167734,0.887729107671479,0.432968740878859,0.00141383717248996,0.00252065287992706
"LOC124901798",11.0580149404263,1.12208144444116,0.615398418742421,0.000101646427233009,0.000206117214489764
"RAB41",8.065570944205,0.327640048490616,0.411645991091851,0.22353233690587,0.276568005916987
"OAZ3",11.1553369053432,0.441415422469148,0.411636522581725,0.103086327578178,0.137608118314513
"DAND5",7.99521316001051,0.76039182298294,0.446225861410339,0.00515239548211466,0.00851855148224713
"LOC124903061",8.28347608606358,0.264474518960075,0.422703800809429,0.320009476860445,0.380622671755164
"GALR2",7.9861115302395,0.883320022949168,0.472007500329983,0.00124434161774556,0.00223491501678633
"RDH5",7.35667529575725,0.574574574524259,0.450623101587884,0.0292043136118211,0.0430116110039486
"RBP7",10.9203512506637,0.529437378258472,0.399707962485798,0.0525441525396024,0.0739958906265956
"PEAK3",8.15152788343814,0.456544319328689,0.436008317686849,0.085358919658742,0.115822188373133
"TTC9B",7.14640352490048,0.582937791608907,0.459940258506695,0.0249378478359483,0.0371085510452042
"PLD4",39.3481563446902,0.760953039285045,0.489912303828854,0.00353930049610208,0.00599504557942645
"SPDYA",15.0576679908953,0.930179904989216,0.372849190040433,0.00073569775903107,0.0013578476342691
"GPR84",12.0822021313123,0.803678217070873,0.417200594469989,0.00371205190636898,0.00626768544120655
