"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"SPACDR",6.78637484552142,1.23977546438282,0.682765023193141,0.000853877224055248,0.00127948905682241
"MUSTN1",9.44151796130171,1.81710044146597,0.806483392547755,1.3317980213887e-05,2.2818026759859e-05
"FOXH1",15.4854795167734,1.82729940165386,0.542282616370768,1.68821556986862e-06,3.06064165553864e-06
"LOC124901798",11.0580149404263,1.80960069603114,0.696088129968073,8.49605099944613e-06,1.47322353639253e-05
"OAZ3",11.1553369053432,1.10235059253953,0.469715132771612,0.00241716544791248,0.00348209034488545
"RDH5",7.35667529575725,1.02453330222504,0.531292992224652,0.00612026179705209,0.00852203532611389
"PEAK3",8.15152788343814,1.23947732310826,0.512772908841185,0.000904731655724586,0.00135298871111405
"TTC9B",7.14640352490048,1.07051788226384,0.548232846869614,0.00429094952001034,0.00605984408678447
"PLD4",39.3481563446902,4.45077221455433,1.05186336482871,3.38907514371354e-10,7.48624075838949e-10
"GPR84",12.0822021313123,1.36313954108376,0.474701657312867,0.000188097463110767,0.000297609732738599
"VIL1",53.5431925427239,6.32004633560179,0.853652152811037,9.27958114795272e-15,2.54745069293432e-14
"TSTD1",10.6739636137864,1.36887693602953,0.488188003509415,0.000205475498947123,0.00032434522521748
"ZP3",10.686527550472,1.07551578723955,0.447282155535542,0.00252856044491874,0.00363635434244225
"CLIC3",10.1136357519234,1.14245935491568,0.491430153551548,0.0019583343771205,0.00284264836313342
"SBSN",13.3125047289358,1.14094940067305,0.430435199271847,0.00110082798206316,0.00163196207157514
"TMEM52",16.2317902338873,1.4892656094917,0.430989210910989,1.96168182804518e-05,3.32596588728344e-05
"GP1BB",14.9117468303519,1.10019787081875,0.392999897000195,0.000927954569743267,0.00138648900465957
"SHBG",13.8283314483144,1.12608015784209,0.424498553343984,0.00117899992214065,0.00174173081834128
"SMCO2",22.3723777064277,1.8617595598254,0.455693546124608,1.5538139243606e-07,2.97434308702573e-07
"ITGB1BP2",12.4547992400108,1.13741273757574,0.424091559345218,0.00104423642211871,0.00155079044494827
"RASIP1",9.65082251558308,1.23486509760545,0.485569497521303,0.000788014201430472,0.00118526957815428
"INHA",12.3363728916116,1.13765760791616,0.440740324510029,0.00129829169923238,0.00191147614300288
"SPEM2",13.1700619353817,1.36230707701563,0.447389816050283,0.00012924520866118,0.000206844424150616
"CHRNA10",13.4172117100403,1.09023877545784,0.436780028459766,0.00196503496819895,0.00285145497696195
"PGBD3",53.5680139389003,1.04258374478067,0.451232741066404,0.00354379969882813,0.00503629891935565
"CXCR5",45.371626017799,3.77431101939607,0.446827037475911,4.17612598438558e-23,1.64570568929334e-22
"MESP1",23.7708681023744,1.52399550306843,0.35629206945366,8.89137751950919e-07,1.6350107312843e-06
"SNCB",14.4093749029962,1.20462763259842,0.414864015296243,0.000440269634133938,0.000677156565327216
"SMIM41",12.3491901489486,1.09518890592148,0.426758228070553,0.00165548679963322,0.0024168173963936
"ZNF439",8.30664811521667,-1.05727254918611,0.531736978515139,0.00471113580048754,0.0066338177349168
"HPN",11.3494382835478,1.14060669344926,0.433953632544779,0.00115765520934476,0.00171225930996534
"ZMYND15",17.6811303869525,1.13992156583182,0.368449186502826,0.000347478222770864,0.000539044408322353
"LGALS9",11.65936974015,1.06579118524734,0.441845875201833,0.0026174994805,0.00376025329710901
"EIF4EBP3",47.8187609174755,2.85302888342609,0.412988719791723,4.99987227277865e-19,1.64161662341402e-18
"SLC26A4",7.0217962127737,-1.10771755220484,0.547544333725213,0.00316961502346025,0.00452213594333054
"ENTREP2",14.9195352654687,1.12537255433412,0.41493435192456,0.00103091399096939,0.00153201648784564
"SAP25",25.2524375626083,1.31191668696966,0.35520022691878,2.36803136761214e-05,3.98837219238168e-05
"OR7E24",17.4341808453027,1.60621313611975,0.436715298162664,4.56538421685484e-06,8.05505126917893e-06
