"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"HSPA1A",13.1468734054221,2.35340577857907,1.06115118505842,1.36296924011699e-07,3.70548685276267e-07
"LOC124901798",11.0580149404263,1.12208144444116,0.615398418742421,0.000101646427233009,0.000206117214489764
"VIL1",53.5431925427239,5.2295245937563,0.858808466216295,4.26144931871817e-11,1.57454371242513e-10
"PCSK9",11.9459967702687,1.47764449072599,0.551322530918677,1.47334439537358e-06,3.63782419201514e-06
"CXCR5",45.371626017799,1.21277347948206,0.352293870206938,8.05669026717618e-06,1.83087469545179e-05
"EIF4EBP3",47.8187609174755,1.83183383246871,0.413176144974937,4.23652682768105e-11,1.56576372024424e-10
"IL21R",19.7782322145707,1.28515703320224,0.355398570206094,2.3802219860649e-06,5.72823120033194e-06
"LOC105379554",30.3165054029703,1.09421950548507,0.308505937943759,1.74226353918685e-05,3.82600846495797e-05
"MEF2B",26.9231828547557,1.44635565990665,0.390868105111986,2.43601274785092e-07,6.47668533058985e-07
"SAA2-SAA4",45.9997987904223,1.54997401357339,0.266762016555147,1.46085605929645e-11,5.64159543951985e-11
"CERKL",45.8264724856019,1.23835711201565,0.313115799522739,1.43230444609246e-06,3.54037757720511e-06
"EBLN2",6.55939134649394,-1.06763343161448,0.539576285005634,0.000166937568525322,0.000331006625445789
"ARC",32.8240558361813,1.52693959520932,0.294630683017776,4.36128482589013e-10,1.48541136312671e-09
"LOC124902215",15.2767600159414,-1.18335354992493,0.389396169771627,2.47919211109751e-05,5.3554516307084e-05
"CAPS",40.5822409575736,1.20573636488484,0.286814368783992,7.69054342019738e-07,1.95132544100892e-06
"ZNF837",37.4009514981631,1.06041319658498,0.273181789301122,6.99725948837913e-06,1.60172940577495e-05
"FRRS1L",16.2166795797993,-1.02494703552635,0.353826758834639,0.000161251542074938,0.000320249642476278
"LOC124903219",7.89331741183773,-2.43479485635197,1.58359495563368,2.7747184895738e-06,6.6280032426992e-06
"CRYAB",49.271627313077,1.27175308052023,0.250081614334415,9.95579475554366e-09,2.98961710397231e-08
"HSPA6",93.8260051740948,3.27892069198833,0.238532774851377,9.03547171327141e-44,6.25578992825012e-42
"PURG",23.0809298429673,-1.02948356317277,0.328749709996979,9.16891351823989e-05,0.000187077983088646
"CKMT1B",54.7751694725094,1.1240487122367,0.23578895969529,1.15851021507865e-07,3.18101411709922e-07
"LOC128966566",12.5621119762615,-1.07160506485214,0.405877876189251,0.000143316682926738,0.00028597506967924
"TBX20",10.6407652866708,-2.3139386815527,1.03400101375636,1.24390260237289e-07,3.39889274127432e-07
"EDA2R",19.2711486417461,-1.1369980007041,0.344185675215061,2.38610516660471e-05,5.17041171916197e-05
"LOC128966717",8.75936046953869,-1.14341979636864,0.493237829239232,7.33733779574171e-05,0.000150801335942014
"TLCD4-RWDD3",11.3122341987204,-1.08799358371185,0.407899437076006,0.000116089968714847,0.000233685801046541
"EIF3CL",890.146203793492,4.20684351804777,0.446347904798525,8.44900754885317e-22,7.91054444639852e-21
"MASP2",14.5654653394852,-1.16284629564193,0.366973176613725,2.47513140168094e-05,5.34753545432778e-05
"GP1BA",13.1329473818423,-1.44621663274843,0.496882731769605,1.3281517656533e-06,3.29560319575173e-06
"GPR75",14.6061465143877,-1.44098262761002,0.429351018815119,5.80548612498985e-07,1.48784867451572e-06
"PDZK1IP1",75.0497996428839,1.02921950432523,0.205155742594082,5.51968994634909e-08,1.56196466077676e-07
"ZNF688",85.0256670010019,1.00618331569694,0.189214599347282,1.2690897224013e-08,3.77483594230886e-08
"LOC124901373",16.4245852729157,-1.05837756028517,0.35672127593638,0.000103641240198387,0.000209973046806486
"CRACR2B",64.8283043400282,1.04621418862389,0.225058445546248,3.04234336709509e-07,8.02553298146754e-07
"CACNB4",26.2732826466692,-1.12720911806397,0.296341568392415,5.91282229312511e-06,1.36459852614499e-05
"LOC105377015",19.4493369996248,-1.16881538321902,0.349770876685022,1.6028351506208e-05,3.53760242988936e-05
"VGLL3",22.4652728418327,-1.33018070658574,0.326749886746354,3.87340849264777e-07,1.01268179820367e-06
"PRSS35",22.5404942784194,-1.56350679224427,0.366370390888568,8.1113410912084e-09,2.45926827020895e-08
"LOC127814297",20.3444931386831,-2.352078015161,0.642850227903471,4.740404466109e-11,1.74434997811223e-10
"PCDHGB7",27.6883673912109,-1.07101497154155,0.285261876261369,1.03365472898755e-05,2.3247330494854e-05
"GPRIN3",22.6943150069772,-1.25457842898941,0.319105957213545,1.32875896922164e-06,3.29650401386648e-06
"CAMK2N2",91.8963612327196,1.09839784807514,0.196093038659924,1.74664280513931e-09,5.65230693005411e-09
"IKZF2",26.3795584546604,-1.17731853327248,0.29214907949211,1.83179121826092e-06,4.46408181186656e-06
"ACER2",20.5109622677551,-1.46053103201844,0.385785848314822,1.60359789457846e-07,4.33610558275661e-07
"MMP19",84.8387700668542,1.00900808823438,0.19899708523053,4.60178770405355e-08,1.31183986048199e-07
"DDIT4L",35.4500221411672,-1.10973706338768,0.267460938368818,1.85030486713888e-06,4.5075723585785e-06
"PRR22",107.232504958391,1.13842614200259,0.185305363197546,5.84437840636158e-11,2.12853932733444e-10
"LOC122526780",17.5345726872624,-2.03342977479954,0.630524778399541,1.48944191647228e-09,4.85020629867157e-09
"CARD14",31.0067486039021,-1.33669360067833,0.293320574795137,6.18744201962136e-08,1.74034697306058e-07
"CCDC39",22.9652379608347,-2.67324364583035,0.566477099508195,2.56273196422217e-13,1.15678516379015e-12
"SNCG",107.937905010649,1.1034391810219,0.198647828975502,2.21608317630995e-09,7.11870245898597e-09
"MAP10",39.8308738210234,-1.12367345438747,0.25535650647396,6.03290859881942e-07,1.54466715328392e-06
"MPV17L",24.5586021472702,-2.17142604379844,0.509302417224286,1.71378332223771e-12,7.22153203293735e-12
"HSD11B1",35.0031018931555,-1.10693601982122,0.282275699643187,4.48948919722997e-06,1.04993233417291e-05
"SCN3A",27.6633642382454,-1.41968856010375,0.305449615570313,1.73863423372084e-08,5.11623818427747e-08
"ZNF625",29.1177282958526,-1.28279935450185,0.282904263587535,1.10853904522615e-07,3.04690261596056e-07
"POMK",20.4652397374982,-2.4922951892205,0.644511442161879,1.68181963741246e-11,6.47270436850219e-11
"GOLGA6L4",26.0299738321164,-1.11127395408558,0.2993314091685,9.0331596972642e-06,2.04214147811058e-05
"CDK3",109.348133869743,1.00370309808806,0.168363330723732,3.22183250961443e-10,1.10569295150748e-09
"AMH",129.884812245774,1.12036794866678,0.164268381213661,7.58135728644289e-13,3.29012872787739e-12
"RPL36A-HNRNPH2",174.925408205144,1.01486714885687,0.310126325970154,6.99534025612139e-05,0.000144145434673222
"MDP1",112.766629615802,1.07020179200473,0.171668916471556,4.51893052646298e-11,1.66376005011663e-10
"ASDURF",27.5640599140153,-1.85774216401114,0.438540948444648,6.84651360001597e-11,2.47482677680898e-10
"ZNF414",137.888452485759,1.07379256427548,0.17142181400287,3.68199221381792e-11,1.36943737958005e-10
"MALRD1",41.3061578664799,-1.21437253490479,0.251619106798148,5.08788839906501e-08,1.44340368303796e-07
"PAQR5",47.7252400948766,-1.27295386951763,0.251251743150211,1.08263543517511e-08,3.23735570549261e-08
"EFCAB13",57.2483367789364,-1.03487283120857,0.224857647728666,3.98808914121495e-07,1.04165586178261e-06
"HES6",145.712995235983,1.24080078505531,0.152765573440685,2.40157156971829e-17,1.54988612632728e-16
"HMCN1",33.5851879628018,-1.53945947891276,0.282110523896939,1.01364063244808e-10,3.62087522296704e-10
"ZSCAN23",25.6091132865147,-3.34300910767151,0.459642346786929,5.12955403957882e-16,2.9344961478116e-15
"E2F2",117.802865937378,1.00210952860815,0.165993886473415,2.04772741651447e-10,7.14930640040389e-10
"LOC128125822",20.4623412262777,-4.93546442728817,1.86589370753607,2.29685299433354e-07,6.13084465727503e-07
"EML5",55.7273891786184,-1.08501922455458,0.221673249233061,7.73236541054388e-08,2.15691457454035e-07
"CRACD",43.5898227998266,-1.13839196205127,0.234598889628155,7.12747237629705e-08,1.99518981033354e-07
"ZFP69B",47.5511011448187,-1.15175313190307,0.229600437081741,2.97219511177389e-08,8.57061217515148e-08
"ARMCX5-GPRASP2",36.7004700071536,-1.08767642026803,0.290265910715385,9.48693228976676e-06,2.14042568255583e-05
"ARHGAP11B",40.5753470636436,-1.37189930961842,0.256415201013591,1.20620333120409e-09,3.95169890186519e-09
"KCNT2",53.2081788691982,-1.10372234356747,0.244202484914419,4.03021605377918e-07,1.05184509843558e-06
"FILIP1L",59.5832133321191,-1.05357457298596,0.210476698017971,5.20637317248012e-08,1.47608660650261e-07
"CBR3",159.564424866773,1.19903394064101,0.15792832466557,1.94006946111915e-15,1.05616442720039e-14
"FBN2",52.1531656739266,-1.20458033467715,0.217949418794768,1.52824277923627e-09,4.97056269873978e-09
"TCP11L2",47.893771516162,-1.22446336792867,0.225948683818016,2.44079982847681e-09,7.80697429146302e-09
"TTN",45.5128909487985,-1.00418868062214,0.232857210060178,1.69080933383878e-06,4.13918709268493e-06
"TRAPPC6A",159.217326098815,1.00321088630331,0.156843192192465,2.11356283174602e-11,8.05624274178514e-11
"SAMD5",46.378123013113,-1.13186939990645,0.227791769186022,4.19536452267397e-08,1.19977457947334e-07
"SHE",50.3271847551452,-1.22055213000495,0.226543980616324,2.95617437125473e-09,9.36885215641082e-09
"LONRF3",55.6965468942718,-1.20427119003856,0.212863516647643,7.40155879513506e-10,2.47592778228738e-09
"SDSL",169.072113079666,1.1561525279682,0.148234462646981,4.71061329220818e-16,2.71206780631568e-15
"RNFT2",171.95263403037,1.03976484545179,0.143567889403644,5.27720153587563e-14,2.53009580738128e-13
"IL1RAPL1",38.8473852479523,-2.03813374080015,0.354949646546251,6.22867925994481e-16,3.5348212983823e-15
"TUBA8",186.26923320033,1.03202686798403,0.143602498014123,8.16933693944327e-14,3.84702539307372e-13
"USP44",62.2113512981535,-1.13198208979575,0.217904182782888,1.33627137723986e-08,3.96767096197831e-08
"CEMP1",208.875753920898,1.18833099724516,0.15527010842973,1.27496287716437e-15,7.05462041171975e-15
"RAB4B",178.116971891909,1.10259440653663,0.136803036704763,7.34835019457893e-17,4.53014045557124e-16
"ABHD12B",68.9641498764245,-1.08573361466197,0.191827282666362,1.32940042969904e-09,4.33846632858757e-09
"LOC124905230",287.833908129109,1.86043261389823,0.140082296700535,1.43165363539236e-44,1.06788705698521e-42
"SGF29",225.316047999418,1.03901910051524,0.14653358074524,1.59102463329168e-13,7.31622056337567e-13
"ZNF724",55.7569875953294,-1.66371122624694,0.226108144793475,1.71665756247248e-16,1.02505943170902e-15
"MTLN",221.450002095801,1.12241879252415,0.13833896473034,4.36399099320391e-17,2.7480523507111e-16
"CHURC1-FNTB",228.627601287424,1.05608660760534,0.156332630829435,1.55756356144456e-12,6.58999236698935e-12
